"acc","sample_name","num_virus_species"
"SRR24705341","AAK_33","116"
"SRR24705340","AAK_43","97"
"SRR24705229","AAK_45","100"
"SRR24705182","AAK_48","131"
"SRR24705135","AAK_49","91"
"SRR24705568","AAK_50","99"
"SRR24704993","AAK_51","99"
"SRR24704818","AAK_53","102"
"SRR24704963","AAK_55","119"
"SRR24705668","AAK_57","91"
"SRR24705339","AAK_58","97"
"SRR24705328","AAK_59","114"
"SRR24705317","AAK_60","115"
"SRR24705306","AAK_63","77"
"SRR24705295","AAK_65","85"
"SRR24705284","AAK_72","108"
"SRR24705240","AAQ_100","153"
"SRR24705228","AAQ_101","148"
"SRR24705217","AAQ_102","132"
"SRR24705622","AAQ_103","98"
"SRR24705611","AAQ_104","86"
"SRR24705600","AAQ_105","76"
"SRR24705461","AAQ_106","56"
"SRR24705450","AAQ_107","74"
"SRR24705439","AAQ_108","100"
"SRR24705204","AAQ_110","119"
"SRR24705193","AAQ_115","138"
"SRR24705437","AAQ_116","117"
"SRR24705426","AAQ_126","144"
"SRR24705273","AAQ_83","139"
"SRR24705262","AAQ_98","144"
"SRR24705251","AAQ_99","155"
"SRR24705415","BAA_11","69"
"SRR24704940","BAA_22","83"
"SRR24704929","BAA_23","153"
"SRR24704918","BAA_24","107"
"SRR24705179","BAA_25","115"
"SRR24705168","BAA_26","114"
"SRR24705157","BAA_27","67"
"SRR24705146","BAA_28","48"
"SRR24705134","BAA_29","57"
"SRR24705123","BAA_30","54"
"SRR24705400","BAA_31","59"
"SRR24705389","BAA_32","49"
"SRR24705378","BAA_34","44"
"SRR24704903","BAA_37","56"
"SRR24704892","BAA_38","40"
"SRR24704881","BAA_41","45"
"SRR24705579","BAB_21","78"
"SRR24705567","BAB_22","100"
"SRR24705556","BAB_23","103"
"SRR24705545","BAB_24","102"
"SRR24705534","BAB_25","96"
"SRR24705363","BAB_26","77"
"SRR24705352","BAB_28","51"
"SRR24705117","BAB_29","50"
"SRR24705106","BAB_30","35"
"SRR24705095","BAB_31","66"
"SRR24705004","BAB_33","59"
"SRR24704992","BAB_34","72"
"SRR24704981","BAB_37","96"
"SRR24704874","BAB_39","80"
"SRR24704863","BAB_46","75"
"SRR24705590","BAB_8","98"
"SRR24704852","BAC_11","146"
"SRR24705081","BAC_24","162"
"SRR24705070","BAC_26","185"
"SRR24705059","BAC_27","176"
"SRR24704840","BAC_29","211"
"SRR24704829","BAC_30","120"
"SRR24704817","BAC_31","47"
"SRR24704806","BAC_32","49"
"SRR24704795","BAC_33","46"
"SRR24704784","BAC_34","59"
"SRR24705045","BAC_35","54"
"SRR24705034","BAC_36","66"
"SRR24705023","BAC_40","85"
"SRR24705524","BAC_43","115"
"SRR24705513","BAC_48","103"
"SRR24705502","BAC_55","108"
"SRR24704951","BAD_20","230"
"SRR24704780","BAD_22","222"
"SRR24704769","BAD_23","223"
"SRR24704758","BAD_24","212"
"SRR24704747","BAD_25","208"
"SRR24704736","BAD_26","145"
"SRR24704725","BAD_27","95"
"SRR24705018","BAD_28","117"
"SRR24705007","BAD_29","124"
"SRR24705667","BAD_30","85"
"SRR24705496","BAD_31","137"
"SRR24705485","BAD_33","132"
"SRR24705474","BAD_37","162"
"SRR24705655","BAD_39","193"
"SRR24705644","BAD_46","174"
"SRR24704962","BAD_9","214"
"SRR24705632","BAE_19","110"
"SRR24705631","BAE_20","110"
"SRR24705630","BAE_21","124"
"SRR24705338","BAE_22","49"
"SRR24705337","BAE_23","21"
"SRR24705336","BAE_24","17"
"SRR24705335","BAE_25","17"
"SRR24705334","BAE_26","18"
"SRR24705333","BAE_27","17"
"SRR24705332","BAE_28","20"
"SRR24705331","BAE_29","36"
"SRR24705330","BAE_31","39"
"SRR24705329","BAE_35","40"
"SRR24705327","BAE_37","46"
"SRR24705326","BAE_44","51"
"SRR24705633","BAE_6","116"
"SRR24705324","BAF_21","79"
"SRR24705323","BAF_22","135"
"SRR24705322","BAF_23","113"
"SRR24705321","BAF_24","117"
"SRR24705320","BAF_25","86"
"SRR24705319","BAF_26","63"
"SRR24705318","BAF_27","61"
"SRR24705316","BAF_28","50"
"SRR24705315","BAF_29","60"
"SRR24705314","BAF_30","72"
"SRR24705313","BAF_31","74"
"SRR24705312","BAF_33","62"
"SRR24705311","BAF_38","98"
"SRR24705310","BAF_40","93"
"SRR24705309","BAF_46","84"
"SRR24705325","BAF_8","100"
"SRR24705307","BAG_21","190"
"SRR24705305","BAG_22","169"
"SRR24705304","BAG_23","199"
"SRR24705303","BAG_24","196"
"SRR24705302","BAG_25","178"
"SRR24705301","BAG_26","138"
"SRR24705300","BAG_27","76"
"SRR24705299","BAG_28","65"
"SRR24705298","BAG_29","68"
"SRR24705297","BAG_30","101"
"SRR24705296","BAG_31","118"
"SRR24705294","BAG_33","161"
"SRR24705293","BAG_37","144"
"SRR24705292","BAG_39","145"
"SRR24705291","BAG_46","171"
"SRR24705308","BAG_8","195"
"SRR24705290","BAH_14","98"
"SRR24705289","BAH_24","116"
"SRR24705288","BAH_25","61"
"SRR24705287","BAH_26","81"
"SRR24705286","BAH_27","115"
"SRR24705285","BAH_28","84"
"SRR24705283","BAH_29","96"
"SRR24705282","BAH_30","79"
"SRR24705281","BAH_31","77"
"SRR24705280","BAH_32","125"
"SRR24705279","BAH_33","83"
"SRR24705278","BAH_34","131"
"SRR24705277","BAH_36","108"
"SRR24705276","BAH_38","96"
"SRR24705275","BAH_41","114"
"SRR24705274","BAH_48","89"
"SRR24705271","BAI_21","154"
"SRR24705270","BAI_22","183"
"SRR24705269","BAI_23","182"
"SRR24705268","BAI_24","151"
"SRR24705267","BAI_25","147"
"SRR24705266","BAI_26","158"
"SRR24705265","BAI_27","155"
"SRR24705264","BAI_28","181"
"SRR24705263","BAI_29","106"
"SRR24705261","BAI_30","120"
"SRR24705260","BAI_32","154"
"SRR24705259","BAI_33","145"
"SRR24705258","BAI_36","149"
"SRR24705257","BAI_38","139"
"SRR24705256","BAI_45","152"
"SRR24705272","BAI_8","166"
"SRR24705254","BAJ_21","145"
"SRR24705253","BAJ_22","157"
"SRR24705252","BAJ_24","116"
"SRR24705250","BAJ_25","69"
"SRR24705249","BAJ_26","62"
"SRR24705248","BAJ_27","37"
"SRR24705247","BAJ_28","50"
"SRR24705246","BAJ_29","73"
"SRR24705245","BAJ_30","88"
"SRR24705244","BAJ_31","83"
"SRR24705243","BAJ_32","96"
"SRR24705242","BAJ_34","100"
"SRR24705241","BAJ_38","187"
"SRR24705239","BAJ_39","107"
"SRR24705238","BAJ_46","114"
"SRR24705255","BAJ_9","92"
"SRR24705236","BAK_19","146"
"SRR24705235","BAK_20","104"
"SRR24705234","BAK_22","166"
"SRR24705233","BAK_23","193"
"SRR24705232","BAK_24","212"
"SRR24705231","BAK_25","101"
"SRR24705230","BAK_26","106"
"SRR24705227","BAK_27","96"
"SRR24705226","BAK_28","86"
"SRR24705225","BAK_29","106"
