"acc","sample_name","name","pct"
"SRR24705341","AAK_33","Viruses","1.06"
"SRR24705341","AAK_33","cellular organisms","98.94"
"SRR24705340","AAK_43","Viruses","0.81"
"SRR24705340","AAK_43","cellular organisms","99.19"
"SRR24705229","AAK_45","Viruses","1.14"
"SRR24705229","AAK_45","cellular organisms","98.86"
"SRR24705182","AAK_48","Viruses","1.02"
"SRR24705182","AAK_48","cellular organisms","98.98"
"SRR24705135","AAK_49","Viruses","1.0"
"SRR24705135","AAK_49","cellular organisms","99.0"
"SRR24705568","AAK_50","Viruses","0.94"
"SRR24705568","AAK_50","cellular organisms","99.06"
"SRR24704993","AAK_51","Viruses","0.9"
"SRR24704993","AAK_51","cellular organisms","99.1"
"SRR24704818","AAK_53","Viruses","0.96"
"SRR24704818","AAK_53","cellular organisms","99.04"
"SRR24704963","AAK_55","Viruses","0.88"
"SRR24704963","AAK_55","cellular organisms","99.12"
"SRR24705668","AAK_57","Viruses","1.52"
"SRR24705668","AAK_57","cellular organisms","98.48"
"SRR24705339","AAK_58","Viruses","2.61"
"SRR24705339","AAK_58","cellular organisms","97.39"
"SRR24705328","AAK_59","Viruses","2.18"
"SRR24705328","AAK_59","cellular organisms","97.82"
"SRR24705317","AAK_60","Viruses","1.28"
"SRR24705317","AAK_60","cellular organisms","98.72"
"SRR24705306","AAK_63","Viruses","0.9"
"SRR24705306","AAK_63","cellular organisms","99.1"
"SRR24705295","AAK_65","Viruses","0.92"
"SRR24705295","AAK_65","cellular organisms","99.08"
"SRR24705284","AAK_72","Viruses","0.81"
"SRR24705284","AAK_72","cellular organisms","99.19"
"SRR24705240","AAQ_100","Viruses","2.57"
"SRR24705240","AAQ_100","cellular organisms","97.43"
"SRR24705228","AAQ_101","Viruses","2.1"
"SRR24705228","AAQ_101","cellular organisms","97.9"
"SRR24705217","AAQ_102","Viruses","1.88"
"SRR24705217","AAQ_102","cellular organisms","98.12"
"SRR24705622","AAQ_103","Viruses","0.92"
"SRR24705622","AAQ_103","cellular organisms","99.08"
"SRR24705611","AAQ_104","Viruses","1.28"
"SRR24705611","AAQ_104","cellular organisms","98.72"
"SRR24705600","AAQ_105","Viruses","8.38"
"SRR24705600","AAQ_105","cellular organisms","91.62"
"SRR24705461","AAQ_106","Viruses","1.58"
"SRR24705461","AAQ_106","cellular organisms","98.42"
"SRR24705450","AAQ_107","Viruses","1.32"
"SRR24705450","AAQ_107","cellular organisms","98.68"
"SRR24705439","AAQ_108","Viruses","1.31"
"SRR24705439","AAQ_108","cellular organisms","98.69"
"SRR24705204","AAQ_110","Viruses","1.82"
"SRR24705204","AAQ_110","cellular organisms","98.18"
"SRR24705193","AAQ_115","Viruses","1.88"
"SRR24705193","AAQ_115","cellular organisms","98.12"
"SRR24705437","AAQ_116","Viruses","1.83"
"SRR24705437","AAQ_116","cellular organisms","98.17"
"SRR24705426","AAQ_126","Viruses","2.65"
"SRR24705426","AAQ_126","cellular organisms","97.35"
"SRR24705273","AAQ_83","Viruses","3.13"
"SRR24705273","AAQ_83","cellular organisms","96.87"
"SRR24705262","AAQ_98","Viruses","2.56"
"SRR24705262","AAQ_98","cellular organisms","97.44"
"SRR24705251","AAQ_99","Viruses","2.16"
"SRR24705251","AAQ_99","cellular organisms","97.84"
"SRR24705415","BAA_11","Viruses","0.77"
"SRR24705415","BAA_11","cellular organisms","99.23"
"SRR24704940","BAA_22","Viruses","0.47"
"SRR24704940","BAA_22","cellular organisms","99.53"
"SRR24704929","BAA_23","Viruses","0.29"
"SRR24704929","BAA_23","cellular organisms","99.71"
"SRR24704918","BAA_24","Viruses","0.51"
"SRR24704918","BAA_24","cellular organisms","99.49"
"SRR24705179","BAA_25","Viruses","0.22"
"SRR24705179","BAA_25","cellular organisms","99.78"
"SRR24705168","BAA_26","Viruses","0.28"
"SRR24705168","BAA_26","cellular organisms","99.72"
"SRR24705157","BAA_27","Viruses","0.3"
"SRR24705157","BAA_27","cellular organisms","99.7"
"SRR24705146","BAA_28","Viruses","0.3"
"SRR24705146","BAA_28","cellular organisms","99.7"
"SRR24705134","BAA_29","Viruses","0.25"
"SRR24705134","BAA_29","cellular organisms","99.75"
"SRR24705123","BAA_30","Viruses","0.26"
"SRR24705123","BAA_30","cellular organisms","99.74"
"SRR24705400","BAA_31","Viruses","0.21"
"SRR24705400","BAA_31","cellular organisms","99.79"
"SRR24705389","BAA_32","Viruses","0.29"
"SRR24705389","BAA_32","cellular organisms","99.71"
"SRR24705378","BAA_34","Viruses","0.23"
"SRR24705378","BAA_34","cellular organisms","99.77"
"SRR24704903","BAA_37","Viruses","0.53"
"SRR24704903","BAA_37","cellular organisms","99.47"
"SRR24704892","BAA_38","Viruses","0.1"
"SRR24704892","BAA_38","cellular organisms","99.9"
"SRR24704881","BAA_41","Viruses","0.66"
"SRR24704881","BAA_41","cellular organisms","99.34"
"SRR24705579","BAB_21","Viruses","1.39"
"SRR24705579","BAB_21","cellular organisms","98.61"
"SRR24705567","BAB_22","Viruses","1.33"
"SRR24705567","BAB_22","cellular organisms","98.67"
"SRR24705556","BAB_23","Viruses","1.94"
"SRR24705556","BAB_23","cellular organisms","98.06"
"SRR24705545","BAB_24","Viruses","1.66"
"SRR24705545","BAB_24","cellular organisms","98.34"
"SRR24705534","BAB_25","Viruses","2.38"
"SRR24705534","BAB_25","cellular organisms","97.62"
"SRR24705363","BAB_26","Viruses","0.5"
"SRR24705363","BAB_26","cellular organisms","99.5"
"SRR24705352","BAB_28","Viruses","3.75"
"SRR24705352","BAB_28","cellular organisms","96.25"
"SRR24705117","BAB_29","Viruses","2.97"
"SRR24705117","BAB_29","cellular organisms","97.03"
"SRR24705106","BAB_30","Viruses","5.46"
"SRR24705106","BAB_30","cellular organisms","94.54"
"SRR24705095","BAB_31","Viruses","2.34"
"SRR24705095","BAB_31","cellular organisms","97.66"
"SRR24705004","BAB_33","Viruses","1.72"
"SRR24705004","BAB_33","cellular organisms","98.28"
"SRR24704992","BAB_34","Viruses","1.36"
"SRR24704992","BAB_34","cellular organisms","98.64"
"SRR24704981","BAB_37","Viruses","0.8"
"SRR24704981","BAB_37","cellular organisms","99.2"
"SRR24704874","BAB_39","Viruses","0.99"
"SRR24704874","BAB_39","cellular organisms","99.01"
"SRR24704863","BAB_46","Viruses","1.17"
"SRR24704863","BAB_46","cellular organisms","98.83"
"SRR24705590","BAB_8","Viruses","1.14"
"SRR24705590","BAB_8","cellular organisms","98.86"
"SRR24704852","BAC_11","Viruses","2.38"
"SRR24704852","BAC_11","cellular organisms","97.62"
"SRR24705081","BAC_24","Viruses","1.47"
"SRR24705081","BAC_24","cellular organisms","98.53"
"SRR24705070","BAC_26","Viruses","1.74"
"SRR24705070","BAC_26","cellular organisms","98.26"
"SRR24705059","BAC_27","Viruses","1.49"
