"tax_id","name","rank"
"10239","Viruses","superkingdom"
"10240","Poxviridae","family"
"10241","Chordopoxvirinae","subfamily"
"10242","Orthopoxvirus","genus"
"10244","Monkeypox virus","species"
"10278","Molluscipoxvirus","genus"
"10279","Molluscum contagiosum virus","species"
"10284","Entomopoxvirinae","subfamily"
"10286","Betaentomopoxvirus","genus"
"10293","Alphaherpesvirinae","subfamily"
"10294","Simplexvirus","genus"
"10298","Human alphaherpesvirus 1","species"
"10310","Human alphaherpesvirus 2","species"
"10319","Varicellovirus","genus"
"10320","Bovine alphaherpesvirus 1","species"
"10345","Suid alphaherpesvirus 1","species"
"10345","Suid alphaherpesvirus 1",
"10357","Betaherpesvirinae","subfamily"
"10372","Human betaherpesvirus 7",
"10374","Gammaherpesvirinae","subfamily"
"10375","Lymphocryptovirus","genus"
"10376","Human gammaherpesvirus 4","species"
"10386","Gallid alphaherpesvirus 1",
"10397","Tupaiid betaherpesvirus 1","species"
"10442","Baculoviridae","family"
"10454","Spodoptera exigua multiple nucleopolyhedrovirus","species"
"10486","Iridoviridae","family"
"10492","Ranavirus","genus"
"10501","Phycodnaviridae","family"
"10508","Adenoviridae","family"
"10509","Mastadenovirus","genus"
"10566","Human papillomavirus","species"
"10590","human papillomavirus 42",
"10592","human papillomavirus 44",
"10593","human papillomavirus 45",
"10595","human papillomavirus 51",
"10639","Caulimovirus","genus"
"10641","Cauliflower mosaic virus","species"
"10652","Badnavirus","genus"
"10656","Tectiviridae","family"
"10659","Corticoviridae","family"
"10663","Tequatrovirus","genus"
"10780","Parvoviridae","family"
"10811","Geminiviridae","family"
"10813","Curtovirus","genus"
"10814","Begomovirus","genus"
"10832","Tomato yellow leaf curl virus","species"
"10840","Beet curly top virus","species"
"10841","Microviridae","family"
"10842","Microvirus","genus"
"10844","Enterobacteria phage S13",
"10847","Sinsheimervirus phiX174","species"
"10860","Inoviridae","family"
"10861","Inovirus","genus"
"11007","Totivirus","genus"
"11008","Saccharomyces cerevisiae virus L-A","species"
"11012","Partitiviridae","family"
"11050","Flaviviridae","family"
"11095","Pestivirus","genus"
"11099","Bovine viral diarrhea virus 1",
"11118","Coronaviridae","family"
"11155","Torovirus","genus"
"11157","Mononegavirales","order"
"11158","Paramyxoviridae","family"
"11229","Morbillivirus","genus"
"11234","Measles morbillivirus","species"
"11270","Rhabdoviridae","family"
"11271","Vesiculovirus","genus"
"11632","Retroviridae","family"
"11646","Lentivirus","genus"
"11676","Human immunodeficiency virus 1","species"
"11827","Human endogenous retrovirus","species"
"11974","Caliciviridae","family"
"11983","Norwalk virus","species"
"12137","Sobemovirus","genus"
"12195","Potyvirus","genus"
"12333","unclassified bacterial viruses",
"12348","Lactobacillus phage LL-H","species"
"12387","Lactococcus phage F4-1","species"
"12429","unclassified viruses",
"12440","Non-A, non-B hepatitis virus","species"
"12618","Chicken anemia virus","species"
"12643","Ectromelia virus","species"
"31532","Skunavirus sk1","species"
"31537","Ceduovirus c2","species"
"31754","Lactococcus phage BK5-T",
"35241","Lactococcus phage Tuc2009","species"
"35243","Ateline alphaherpesvirus 1","species"
"35276","unclassified Retroviridae",
