"sample_name","acc","tax_id","name","total_count"
"AAK_33","SRR24705341","2","Bacteria","44858067"
"AAK_33","SRR24705341","10239","Viruses","483938"
"AAK_33","SRR24705341","2157","Archaea","4599"
"AAK_33","SRR24705341","2759","Eukaryota","2356"
"AAK_43","SRR24705340","2","Bacteria","34254590"
"AAK_43","SRR24705340","10239","Viruses","280275"
"AAK_43","SRR24705340","2759","Eukaryota","1537"
"AAK_43","SRR24705340","2157","Archaea","460"
"AAK_45","SRR24705229","2","Bacteria","30247696"
"AAK_45","SRR24705229","10239","Viruses","350581"
"AAK_45","SRR24705229","2759","Eukaryota","3936"
"AAK_45","SRR24705229","2157","Archaea","1918"
"AAK_48","SRR24705182","2","Bacteria","75647773"
"AAK_48","SRR24705182","10239","Viruses","785608"
"AAK_48","SRR24705182","2759","Eukaryota","8658"
"AAK_48","SRR24705182","2157","Archaea","3993"
"AAK_49","SRR24705135","2","Bacteria","17909400"
"AAK_49","SRR24705135","10239","Viruses","182237"
"AAK_49","SRR24705135","2759","Eukaryota","4955"
"AAK_49","SRR24705135","2157","Archaea","1170"
"AAK_50","SRR24705568","2","Bacteria","23382310"
"AAK_50","SRR24705568","10239","Viruses","221739"
"AAK_50","SRR24705568","2759","Eukaryota","3025"
"AAK_50","SRR24705568","2157","Archaea","1599"
"AAK_51","SRR24704993","2","Bacteria","27013178"
"AAK_51","SRR24704993","10239","Viruses","244752"
"AAK_51","SRR24704993","2759","Eukaryota","2101"
"AAK_51","SRR24704993","2157","Archaea","642"
"AAK_53","SRR24704818","2","Bacteria","29916677"
"AAK_53","SRR24704818","10239","Viruses","291097"
"AAK_53","SRR24704818","2759","Eukaryota","6247"
"AAK_53","SRR24704818","2157","Archaea","1922"
"AAK_55","SRR24704963","2","Bacteria","63342650"
"AAK_55","SRR24704963","10239","Viruses","567354"
"AAK_55","SRR24704963","2759","Eukaryota","9722"
"AAK_55","SRR24704963","2157","Archaea","3013"
"AAK_57","SRR24705668","2","Bacteria","25604515"
"AAK_57","SRR24705668","10239","Viruses","396400"
"AAK_57","SRR24705668","2759","Eukaryota","1205"
"AAK_57","SRR24705668","2157","Archaea","336"
"AAK_58","SRR24705339","2","Bacteria","21318212"
"AAK_58","SRR24705339","10239","Viruses","571308"
