"acc","sample_name","num_virus_species"
"SRR24705341","AAK_33","83"
"SRR24705340","AAK_43","41"
"SRR24705229","AAK_45","64"
"SRR24705182","AAK_48","88"
"SRR24705135","AAK_49","30"
"SRR24705568","AAK_50","27"
"SRR24704993","AAK_51","39"
"SRR24704818","AAK_53","31"
"SRR24704963","AAK_55","77"
"SRR24705668","AAK_57","37"
"SRR24705339","AAK_58","31"
"SRR24705328","AAK_59","88"
"SRR24705317","AAK_60","85"
"SRR24705306","AAK_63","39"
"SRR24705295","AAK_65","30"
"SRR24705284","AAK_72","82"
"SRR24705240","AAQ_100","32"
"SRR24705228","AAQ_101","47"
"SRR24705217","AAQ_102","17"
"SRR24705439","AAQ_108","15"
"SRR24705204","AAQ_110","106"
"SRR24705193","AAQ_115","15"
"SRR24705437","AAQ_116","70"
"SRR24705426","AAQ_126","38"
"SRR24705273","AAQ_83","16"
"SRR24705262","AAQ_98","26"
"SRR24705251","AAQ_99","32"
"SRR24705415","BAA_11","46"
"SRR24704940","BAA_22","27"
"SRR24704929","BAA_23","17"
"SRR24704918","BAA_24","30"
"SRR24705179","BAA_25","50"
"SRR24705157","BAA_27","44"
"SRR24704903","BAA_37","40"
"SRR24705579","BAB_21","50"
"SRR24705567","BAB_22","39"
"SRR24705556","BAB_23","70"
"SRR24705545","BAB_24","88"
"SRR24705534","BAB_25","35"
"SRR24705363","BAB_26","37"
"SRR24705095","BAB_31","26"
"SRR24705004","BAB_33","64"
"SRR24704992","BAB_34","18"
"SRR24704981","BAB_37","38"
"SRR24704874","BAB_39","63"
"SRR24704863","BAB_46","55"
"SRR24705590","BAB_8","69"
"SRR24704852","BAC_11","46"
"SRR24705081","BAC_24","104"
"SRR24705070","BAC_26","71"
"SRR24705059","BAC_27","93"
"SRR24704840","BAC_29","71"
"SRR24704829","BAC_30","17"
"SRR24704784","BAC_34","27"
"SRR24705034","BAC_36","20"
"SRR24705023","BAC_40","25"
"SRR24705524","BAC_43","28"
"SRR24705513","BAC_48","37"
"SRR24705502","BAC_55","35"
"SRR24704951","BAD_20","54"
"SRR24704780","BAD_22","61"
"SRR24704769","BAD_23","79"
"SRR24704758","BAD_24","57"
"SRR24704747","BAD_25","78"
"SRR24704736","BAD_26","33"
"SRR24705018","BAD_28","25"
"SRR24705007","BAD_29","30"
"SRR24705667","BAD_30","54"
"SRR24705496","BAD_31","30"
"SRR24705485","BAD_33","37"
"SRR24705474","BAD_37","46"
"SRR24705655","BAD_39","63"
"SRR24705644","BAD_46","65"
"SRR24704962","BAD_9","59"
"SRR24705632","BAE_19","36"
"SRR24705631","BAE_20","42"
"SRR24705630","BAE_21","36"
"SRR24705338","BAE_22","13"
"SRR24705633","BAE_6","39"
"SRR24705323","BAF_22","54"
"SRR24705322","BAF_23","43"
"SRR24705321","BAF_24","75"
"SRR24705318","BAF_27","18"
"SRR24705313","BAF_31","49"
"SRR24705311","BAF_38","28"
"SRR24705310","BAF_40","20"
"SRR24705325","BAF_8","46"
"SRR24705307","BAG_21","74"
"SRR24705305","BAG_22","110"
"SRR24705304","BAG_23","46"
"SRR24705303","BAG_24","88"
"SRR24705302","BAG_25","92"
"SRR24705301","BAG_26","31"
"SRR24705297","BAG_30","29"
"SRR24705296","BAG_31","28"
"SRR24705294","BAG_33","65"
"SRR24705293","BAG_37","49"
"SRR24705292","BAG_39","37"
"SRR24705291","BAG_46","60"
"SRR24705308","BAG_8","91"
"SRR24705290","BAH_14","29"
"SRR24705289","BAH_24","65"
"SRR24705286","BAH_27","63"
"SRR24705283","BAH_29","23"
"SRR24705281","BAH_31","41"
"SRR24705280","BAH_32","33"
"SRR24705279","BAH_33","76"
"SRR24705278","BAH_34","42"
"SRR24705277","BAH_36","35"
"SRR24705276","BAH_38","27"
"SRR24705275","BAH_41","65"
"SRR24705274","BAH_48","18"
"SRR24705271","BAI_21","37"
"SRR24705270","BAI_22","73"
"SRR24705269","BAI_23","83"
"SRR24705268","BAI_24","54"
"SRR24705267","BAI_25","29"
"SRR24705266","BAI_26","31"
"SRR24705265","BAI_27","70"
"SRR24705264","BAI_28","82"
"SRR24705263","BAI_29","79"
"SRR24705261","BAI_30","27"
"SRR24705260","BAI_32","46"
"SRR24705259","BAI_33","68"
"SRR24705258","BAI_36","52"
"SRR24705257","BAI_38","90"
"SRR24705256","BAI_45","40"
"SRR24705272","BAI_8","47"
"SRR24705254","BAJ_21","39"
"SRR24705253","BAJ_22","53"
"SRR24705252","BAJ_24","80"
"SRR24705250","BAJ_25","26"
"SRR24705249","BAJ_26","68"
"SRR24705248","BAJ_27","50"
"SRR24705247","BAJ_28","20"
"SRR24705246","BAJ_29","32"
"SRR24705245","BAJ_30","55"
"SRR24705244","BAJ_31","25"
"SRR24705243","BAJ_32","68"
"SRR24705242","BAJ_34","56"
"SRR24705241","BAJ_38","110"
"SRR24705239","BAJ_39","91"
"SRR24705238","BAJ_46","80"
"SRR24705255","BAJ_9","84"
"SRR24705236","BAK_19","37"
"SRR24705235","BAK_20","108"
"SRR24705234","BAK_22","50"
"SRR24705233","BAK_23","64"
"SRR24705232","BAK_24","75"
"SRR24705231","BAK_25","103"
"SRR24705230","BAK_26","20"
"SRR24705227","BAK_27","48"
"SRR24705226","BAK_28","83"
"SRR24705225","BAK_29","34"
"SRR24705224","BAK_30","15"
"SRR24705223","BAK_32","93"
"SRR24705222","BAK_36","39"
"SRR24705221","BAK_38","84"
"SRR24705220","BAK_44","79"
"SRR24705237","BAK_8","44"
"SRR24705218","BAL_21","66"
"SRR24705216","BAL_22","70"
"SRR24705215","BAL_23","44"
"SRR24705214","BAL_24","39"
"SRR24705629","BAL_25","39"
"SRR24705628","BAL_26","39"
"SRR24705625","BAL_29","111"
"SRR24705623","BAL_32","95"
"SRR24705621","BAL_34","36"
"SRR24705620","BAL_37","98"
"SRR24705619","BAL_38","23"
"SRR24705618","BAL_48","52"
"SRR24705219","BAL_9","62"
"SRR24705617","BAM_10","84"
"SRR24705616","BAM_20","90"
"SRR24705615","BAM_21","85"
"SRR24705614","BAM_22","81"
"SRR24705613","BAM_23","73"
"SRR24705612","BAM_24","49"
"SRR24705610","BAM_25","79"
"SRR24705609","BAM_26","68"
"SRR24705608","BAM_27","78"
"SRR24705607","BAM_29","35"
"SRR24705606","BAM_31","34"
"SRR24705605","BAM_32","76"
"SRR24705604","BAM_33","84"
"SRR24705603","BAM_38","79"
"SRR24705602","BAM_40","49"
"SRR24705601","BAM_47","73"
"SRR24705598","BAN_19","102"
"SRR24705469","BAN_20","34"
"SRR24705468","BAN_21","46"
"SRR24705467","BAN_22","41"
"SRR24705466","BAN_23","31"
"SRR24705463","BAN_26","7"
"SRR24705462","BAN_28","19"
"SRR24705459","BAN_30","82"
"SRR24705458","BAN_32","33"
"SRR24705457","BAN_37","37"
"SRR24705456","BAN_39","57"
"SRR24705455","BAN_45","108"
"SRR24705599","BAN_9","26"
"SRR24705453","BAP_21","50"
"SRR24705452","BAP_22","55"
"SRR24705451","BAP_23","57"
"SRR24705449","BAP_24","45"
"SRR24705448","BAP_25","20"
"SRR24705444","BAP_29","40"
"SRR24705442","BAP_31","30"
"SRR24705441","BAP_33","19"
"SRR24705440","BAP_36","54"
"SRR24705438","BAP_38","73"
"SRR24705213","BAP_42","54"
"SRR24705454","BAP_8","84"
"SRR29697129","CAA_15","74"
"SRR29697118","CAA_16","93"
"SRR29697107","CAA_17","101"
"SRR29697096","CAA_18","98"
"SRR29697085","CAA_19","82"
"SRR29697074","CAA_20","73"
"SRR29697063","CAA_21","102"
"SRR29697052","CAA_22","86"
"SRR29697051","CAA_23","51"
"SRR29697128","CAA_24","91"
"SRR29697127","CAA_25","104"
"SRR29697126","CAA_26","75"
"SRR29697125","CAA_27","97"
"SRR29697124","CAA_28","88"
"SRR29697123","CAA_29","97"
"SRR29697130","CAA_5","70"
"SRR29697086","CAC_18","51"
"SRR29697084","CAC_19","85"
"SRR29697083","CAC_20","94"
"SRR29697082","CAC_21","88"
"SRR29697081","CAC_22","94"
"SRR29697080","CAC_23","103"
"SRR29697079","CAC_24","105"
"SRR29697078","CAC_25","71"
"SRR29697077","CAC_26","43"
"SRR29697076","CAC_27","96"
"SRR29697075","CAC_28","98"
"SRR29697073","CAC_29","90"
"SRR29697072","CAC_30","83"
"SRR29697071","CAC_31","73"
"SRR29697070","CAC_37","61"
"SRR29697087","CAC_9","89"
"SRR29697121","CAK_18","58"
"SRR29697120","CAK_19","88"
"SRR29697119","CAK_20","81"
"SRR29697117","CAK_21","50"
"SRR29697116","CAK_22","83"
"SRR29697115","CAK_23","77"
"SRR29697114","CAK_24","79"
"SRR29697113","CAK_25","80"
"SRR29697112","CAK_26","40"
"SRR29697111","CAK_27","62"
"SRR29697110","CAK_28","40"
"SRR29697109","CAK_29","92"
"SRR29697108","CAK_30","36"
"SRR29697106","CAK_31","71"
"SRR29697105","CAK_36","75"
"SRR29697122","CAK_9","99"
"SRR29697103","CAM_18","84"
"SRR29697102","CAM_19","66"
"SRR29697101","CAM_20","79"
"SRR29697100","CAM_21","64"
"SRR29697099","CAM_22","58"
"SRR29697098","CAM_26","84"
"SRR29697097","CAM_27","76"
"SRR29697095","CAM_29","76"
"SRR29697094","CAM_30","74"
"SRR29697093","CAM_31","63"
"SRR29697092","CAM_36","94"
"SRR29697091","CAM_37","86"
"SRR29697090","CAM_38","73"
"SRR29697089","CAM_39","78"
"SRR29697088","CAM_40","56"
"SRR29697104","CAM_8","63"
"SRR29697069","CAN_10","70"
"SRR29697068","CAN_19","99"
"SRR29697067","CAN_20","55"
"SRR29697066","CAN_21","73"
"SRR29697065","CAN_22","55"
"SRR29697064","CAN_23","54"
"SRR29697062","CAN_25","103"
"SRR29697061","CAN_26","90"
"SRR29697060","CAN_27","72"
"SRR29697059","CAN_29","69"
"SRR29697058","CAN_30","65"
"SRR29697056","CAN_36","39"
"SRR29697055","CAN_37","69"
"SRR29697054","CAN_38","104"
"SRR29697053","CAN_39","44"
"SRR24705212","DAE_62","107"
"SRR24705211","DAE_79","26"
"SRR24705210","DAE_80","4"
"SRR24705209","DAE_81","62"
"SRR24705208","DAE_82","47"
"SRR24705207","DAE_83","55"
"SRR24705202","DAE_87","76"
"SRR24705201","DAE_88","50"
"SRR24705199","DAE_91","86"
"SRR24705195","DAL_72","87"
"SRR24705194","DAL_80","86"
"SRR24705192","DAL_81","53"
"SRR24705191","DAL_82","48"
"SRR24705190","DAL_83","55"
"SRR24705189","DAL_84","79"
"SRR24705188","DAL_85","56"
"SRR24705186","DAL_87","21"
"SRR24705185","DAL_89","113"
"SRR24705184","DAL_90","43"
"SRR24705183","DAL_91","34"
"SRR24705436","DAL_92","114"
"SRR24705435","DAL_93","52"
"SRR24705434","DAL_95","48"
"SRR24705433","DAL_98","48"
"SRR24705432","DAO_60","48"
"SRR24705431","DAO_72","40"
"SRR24705430","DAO_73","67"
"SRR24705429","DAO_74","19"
"SRR24705409","DBL_67","60"
"SRR24704935","DBL_81","22"
"SRR24704934","DBL_88","31"
"SRR24704916","DBV_101","19"
"SRR24704933","DBV_63","101"
"SRR24704932","DBV_76","28"
"SRR24704931","DBV_77","29"
"SRR24704930","DBV_78","35"
"SRR24704928","DBV_79","22"
"SRR24704927","DBV_80","104"
"SRR24704926","DBV_81","32"
"SRR24704925","DBV_82","27"
"SRR24704924","DBV_83","24"
"SRR24704922","DBV_85","26"
"SRR24704921","DBV_87","30"
"SRR24704920","DBV_88","100"
"SRR24704919","DBV_92","96"
"SRR24704917","DBV_94","31"
"SRR24704915","EAA_33","66"
"SRR24704914","EAA_46","104"
"SRR24704913","EAA_47","107"
"SRR24704912","EAA_48","64"
"SRR24704911","EAA_50","46"
"SRR24705181","EAA_53","47"
"SRR24705180","EAA_55","19"
"SRR24705178","EAA_56","58"
"SRR24705177","EAA_60","108"
"SRR24705176","EAA_61","108"
"SRR24705175","EAA_62","60"
"SRR24705174","EAA_63","40"
"SRR24705173","EAA_64","80"
"SRR24705172","EAA_65","75"
"SRR24705171","EAA_71","82"
"SRR24705170","EAB_38","37"
"SRR24705169","EAB_50","32"
"SRR24705167","EAB_51","37"
"SRR24705166","EAB_52","78"
"SRR24705165","EAB_53","35"
"SRR24705164","EAB_54","28"
"SRR24705163","EAB_55","1"
"SRR24705162","EAB_56","9"
"SRR24705159","EAB_60","26"
"SRR24705158","EAB_65","34"
"SRR24705156","EAB_66","26"
"SRR24705154","EAB_68","40"
"SRR24705153","EAB_79","14"
"SRR24705152","EAC_33","71"
"SRR24705151","EAC_45","73"
"SRR24705150","EAC_46","57"
"SRR24705149","EAC_48","61"
"SRR24705148","EAC_49","53"
"SRR24705147","EAC_50","40"
"SRR24705143","EAC_53","19"
"SRR24705142","EAC_54","36"
"SRR24705140","EAC_58","19"
"SRR24705139","EAC_59","33"
"SRR24705138","EAC_62","40"
"SRR24705137","EAC_64","53"
"SRR24705136","EAC_71","79"
"SRR24705133","EAD_33","1"
"SRR24705132","EAD_46","79"
"SRR24705131","EAD_47","74"
"SRR24705130","EAD_48","33"
"SRR24705129","EAD_49","74"
"SRR24705128","EAD_50","58"
"SRR24705122","EAD_55","34"
"SRR24705120","EAD_58","89"
"SRR24705118","EAD_64","63"
"SRR24705404","EAE_33","20"
"SRR24705403","EAE_46","54"
"SRR24705402","EAE_47","26"
"SRR24705401","EAE_48","35"
"SRR24705399","EAE_49","58"
"SRR24705391","EAE_58","9"
"SRR24705388","EAE_61","27"
"SRR24705387","EAE_68","44"
"SRR24705386","EAF_33","97"
"SRR24705385","EAF_46","46"
"SRR24705384","EAF_47","85"
"SRR24705383","EAF_48","90"
"SRR24705382","EAF_49","71"
"SRR24705381","EAF_50","14"
"SRR24705380","EAF_51","85"
"SRR24705379","EAF_52","30"
"SRR24705377","EAF_53","19"
"SRR24705376","EAF_54","80"
"SRR24705375","EAF_55","27"
"SRR24705374","EAF_56","37"
"SRR24704909","EAF_58","90"
"SRR24704908","EAF_62","34"
"SRR24704907","EAF_64","75"
"SRR24704906","EAF_71","59"
"SRR24704905","EAI_33","64"
"SRR24704904","EAI_46","8"
"SRR24704900","EAI_49","15"
"SRR24704899","EAI_50","91"
"SRR24704897","EAI_52","15"
"SRR24704896","EAI_53","108"
"SRR24704895","EAI_54","23"
"SRR24704894","EAI_55","73"
"SRR24704893","EAI_56","96"
"SRR24704891","EAI_58","39"
"SRR24704890","EAI_62","24"
"SRR24704889","EAI_64","29"
"SRR24704888","EAI_71","39"
"SRR24704887","EAL_36","40"
"SRR24704886","EAL_51","46"
"SRR24704885","EAL_52","64"
"SRR24704884","EAL_53","48"
"SRR24704883","EAL_54","45"
"SRR24704882","EAL_55","66"
"SRR24704880","EAL_56","66"
"SRR24704879","EAL_57","18"
"SRR24704878","EAL_58","21"
"SRR24705597","EAL_59","35"
"SRR24705596","EAL_60","102"
"SRR24705595","EAL_61","78"
"SRR24705594","EAL_63","81"
"SRR24705593","EAL_66","31"
"SRR24705592","EAL_67","40"
"SRR24705591","EAL_74","44"
"SRR24705589","EAN_33","53"
"SRR24705588","EAN_46","61"
"SRR24705587","EAN_47","46"
"SRR24705586","EAN_48","107"
"SRR24705585","EAN_49","77"
"SRR24705584","EAN_50","32"
"SRR24705582","EAN_52","26"
"SRR24705581","EAN_54","16"
"SRR24705578","EAN_58","28"
"SRR24705577","EAN_59","85"
"SRR24705576","EAN_60","28"
"SRR24705575","EAN_62","37"
"SRR24705574","EAN_64","37"
"SRR24705573","EAN_71","50"
"SRR24705572","EAO_42","111"
"SRR24705571","EAO_54","40"
"SRR24705570","EAO_55","71"
"SRR24705569","EAO_59","14"
"SRR24705566","EAO_60","37"
"SRR24705564","EAO_64","34"
"SRR24705563","EAO_65","82"
"SRR24705562","EAO_66","66"
"SRR24705561","EAO_67","48"
"SRR24705560","EAO_68","77"
"SRR24705559","EAO_69","51"
"SRR24705558","EAO_70","97"
"SRR24705557","EAO_71","106"
"SRR24705555","EAO_73","68"
"SRR24705554","EAO_74","40"
"SRR24705553","EAP_45","36"
"SRR24705552","EAP_59","98"
"SRR24705551","EAP_60","55"
"SRR24705550","EAP_61","76"
"SRR24705549","EAP_62","86"
"SRR24705548","EAP_63","101"
"SRR24705544","EAP_66","71"
"SRR24705542","EAP_68","43"
"SRR24705541","EAP_69","36"
"SRR24705540","EAP_71","59"
"SRR24705539","EAP_75","85"
"SRR24705538","EAP_77","71"
"SRR24705537","EAP_84","87"
"SRR24705536","EAQ_33","41"
"SRR24705373","EAQ_47","31"
"SRR24705372","EAQ_48","3"
"SRR24705371","EAQ_49","40"
"SRR24705369","EAQ_51","68"
"SRR24705366","EAQ_54","13"
"SRR24705364","EAQ_57","56"
"SRR24705362","EAQ_58","18"
"SRR24705361","EAQ_63","92"
"SRR24705360","EAQ_65","19"
"SRR24705359","EAQ_72","19"
"SRR24705358","EAR_43","51"
"SRR24705357","EAR_51","33"
"SRR24705356","EAR_52","48"
"SRR24705355","EAR_53","83"
"SRR24705354","EAR_54","36"
"SRR24705353","EAR_55","37"
"SRR24705351","EAR_56","37"
"SRR24705350","EAR_57","93"
"SRR24705349","EAR_58","87"
"SRR24705348","EAR_59","20"
"SRR24705347","EAR_60","33"
"SRR24705346","EAR_62","79"
"SRR24705345","EAR_63","50"
"SRR24705344","EAR_66","27"
"SRR24705343","EAR_67","108"
"SRR24705342","EAR_72","79"
"SRR24705116","EAS_25","54"
"SRR24705115","EAS_37","65"
"SRR24705114","EAS_38","87"
"SRR24705113","EAS_39","76"
"SRR24705111","EAS_41","95"
"SRR24705110","EAS_42","78"
"SRR24705109","EAS_43","30"
"SRR24705108","EAS_44","39"
"SRR24705107","EAS_45","92"
"SRR24705105","EAS_46","105"
"SRR24705104","EAS_47","60"
"SRR24705103","EAS_48","74"
"SRR24705102","EAS_49","62"
"SRR24705101","EAS_50","66"
"SRR24705100","EAS_56","66"
"SRR24705099","EAT_38","70"
"SRR24705098","EAT_48","31"
"SRR24705097","EAT_49","19"
"SRR24705096","EAT_50","37"
"SRR24705005","EAT_65","55"
"SRR24705003","EAT_68","84"
"SRR24705002","EAT_75","36"
"SRR24705001","EAU_34","71"
"SRR24705000","EAU_46","11"
"SRR24704999","EAU_47","21"
"SRR24704998","EAU_48","25"
"SRR24704997","EAU_49","58"
"SRR24704995","EAU_51","20"
"SRR24704991","EAU_53","10"
"SRR24704989","EAU_55","18"
"SRR24704986","EAU_59","18"
"SRR24704985","EAU_60","14"
"SRR24704983","EAV_34","36"
"SRR24704982","EAV_47","39"
"SRR24704980","EAV_48","95"
"SRR24704979","EAV_49","93"
"SRR24704978","EAV_50","31"
"SRR24704977","EAV_51","38"
